id,user_id,sequence_number,created_at,state,postal_code,browser,traffic_source,event_type
276386,21148.0,5,2021-11-01 08:13:46+00:00,New York,10009,Chrome,Email,purchase
903745,69070.0,10,2023-02-17 09:24:58+00:00,New York,10009,Safari,Adwords,purchase
707607,54080.0,7,2023-09-10 11:13:08+00:00,New York,10012,Firefox,Email,purchase
161771,12535.0,7,2023-12-29 02:38:30+00:00,New York,10016,Firefox,Email,purchase
368472,28182.0,7,2020-09-23 08:39:16+00:00,New York,10029,Safari,Organic,purchase
441322,33812.0,5,2023-12-26 11:30:10+00:00,New York,10044,Chrome,Organic,purchase
254342,19446.0,13,2022-07-11 00:53:00+00:00,New York,10304,Chrome,Adwords,purchase
667811,51047.0,13,2024-01-19 13:18:22+00:00,New York,10453,Safari,Adwords,purchase
710441,54305.0,7,2023-12-14 09:09:28+00:00,New York,10462,Firefox,Facebook,purchase
315838,24132.0,10,2023-03-07 01:18:54+00:00,New York,10472,Chrome,Facebook,purchase
701013,53579.0,5,2024-01-17 15:18:42.711355+00:00,New York,10705,Chrome,Email,purchase
967913,73895.0,7,2023-11-04 21:29:47+00:00,New York,10952,Chrome,Email,purchase
846511,64678.0,13,2023-06-08 04:40:39+00:00,New York,11207,Chrome,Email,purchase
433404,33164.0,7,2023-09-27 04:53:24+00:00,New York,11231,Chrome,Email,purchase
876314,66998.0,7,2020-10-07 04:29:55+00:00,New York,11420,Chrome,YouTube,purchase
132227,10261.0,7,2023-11-05 02:21:05+00:00,New York,11432,Safari,Adwords,purchase
1035311,79118.0,10,2023-03-09 11:52:36+00:00,New York,11580,Chrome,YouTube,purchase
637752,48762.0,10,2022-09-15 08:09:19+00:00,New York,11722,IE,Email,purchase
659842,50444.0,13,2023-07-07 10:15:18+00:00,New York,11725,IE,Adwords,purchase
232114,17812.0,13,2021-08-16 04:06:36+00:00,New York,11729,Chrome,Email,purchase
850256,65012.0,5,2022-06-28 08:37:17+00:00,New York,11756,Safari,Email,purchase
5756,438.0,7,2023-06-20 16:48:36+00:00,New York,11784,Firefox,YouTube,purchase
901568,68914.0,5,2022-11-15 17:45:20+00:00,New York,12180,Chrome,Email,purchase
764030,58494.0,5,2023-09-05 10:52:34+00:00,New York,13090,Chrome,Facebook,purchase
