order_id,user_id,status,gender,num_of_item,returned
8,5,Cancelled,F,3,0
60,44,Cancelled,F,1,0
64,46,Cancelled,F,1,0
89,65,Cancelled,F,1,0
102,76,Cancelled,F,2,0
117,89,Cancelled,F,1,0
143,118,Cancelled,F,1,0
153,124,Cancelled,F,2,0
182,147,Cancelled,F,3,0
183,148,Cancelled,F,1,0
185,149,Cancelled,F,2,0
192,158,Cancelled,F,1,0
194,158,Cancelled,F,2,0
220,175,Cancelled,F,1,0
239,197,Cancelled,F,1,0
248,207,Cancelled,F,2,0
251,209,Cancelled,F,2,0
273,225,Cancelled,F,1,0
276,226,Cancelled,F,1,0
280,228,Cancelled,F,2,0
300,250,Cancelled,F,2,0
304,256,Cancelled,F,1,0
305,256,Cancelled,F,1,0
324,271,Cancelled,F,1,0
325,272,Cancelled,F,3,0
336,283,Cancelled,F,2,0
345,288,Cancelled,F,2,0
350,294,Cancelled,F,1,0
352,297,Cancelled,F,1,0
357,300,Cancelled,F,1,0
365,308,Cancelled,F,2,0
380,317,Cancelled,F,2,0
425,352,Cancelled,F,2,0
429,355,Cancelled,F,1,0
449,370,Cancelled,F,1,0
454,374,Cancelled,F,2,0
462,382,Cancelled,F,4,0
497,408,Cancelled,F,2,0
499,411,Cancelled,F,1,0
510,418,Cancelled,F,1,0
511,418,Cancelled,F,3,0
533,439,Cancelled,F,1,0
537,442,Cancelled,F,1,0
543,444,Cancelled,F,2,0
576,466,Cancelled,F,1,0
579,468,Cancelled,F,2,0
591,475,Cancelled,F,1,0
619,503,Cancelled,F,4,0
670,534,Cancelled,F,3,0
691,552,Cancelled,F,1,0
714,568,Cancelled,F,1,0
724,577,Cancelled,F,1,0
731,582,Cancelled,F,1,0
732,583,Cancelled,F,2,0
748,597,Cancelled,F,1,0
758,604,Cancelled,F,1,0
762,608,Cancelled,F,1,0
763,609,Cancelled,F,1,0
779,622,Cancelled,F,1,0
781,624,Cancelled,F,1,0
806,646,Cancelled,F,2,0
809,647,Cancelled,F,4,0
816,655,Cancelled,F,1,0
838,670,Cancelled,F,4,0
853,684,Cancelled,F,1,0
863,691,Cancelled,F,1,0
873,700,Cancelled,F,2,0
885,711,Cancelled,F,1,0
899,724,Cancelled,F,2,0
903,727,Cancelled,F,1,0
913,734,Cancelled,F,1,0
914,734,Cancelled,F,1,0
919,737,Cancelled,F,1,0
938,754,Cancelled,F,1,0
956,767,Cancelled,F,4,0
973,783,Cancelled,F,1,0
995,803,Cancelled,F,1,0
1017,822,Cancelled,F,1,0
1037,837,Cancelled,F,2,0
1051,847,Cancelled,F,1,0
1066,855,Cancelled,F,1,0
1068,857,Cancelled,F,2,0
1077,865,Cancelled,F,3,0
1078,865,Cancelled,F,1,0
1087,873,Cancelled,F,4,0
1089,874,Cancelled,F,1,0
1100,881,Cancelled,F,1,0
1110,887,Cancelled,F,1,0
1120,896,Cancelled,F,1,0
1137,908,Cancelled,F,1,0
1142,915,Cancelled,F,1,0
1144,917,Cancelled,F,3,0
1152,922,Cancelled,F,3,0
1171,936,Cancelled,F,4,0
1176,940,Cancelled,F,1,0
1224,984,Cancelled,F,2,0
1229,989,Cancelled,F,1,0
1242,998,Cancelled,F,1,0
1262,1009,Cancelled,F,4,0
1269,1012,Cancelled,F,4,0
1296,1032,Cancelled,F,1,0
1320,1048,Cancelled,F,1,0
1329,1056,Cancelled,F,1,0
1355,1080,Cancelled,F,2,0
