age,postal_code,avg_sequence_number,num_of_item,gender_F,gender_M,status_Cancelled,status_Complete,status_Processing,status_Returned,status_Shipped,traffic_source_Display,traffic_source_Email,traffic_source_Facebook,traffic_source_Organic,traffic_source_Search,product_id
44,36303,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,27958
55,36303,13.0,4,1,0,0,0,1,0,0,0,0,1,0,0,7012
55,36303,13.0,4,1,0,0,0,1,0,0,0,0,1,0,0,9230
55,36303,13.0,4,1,0,0,0,1,0,0,0,0,1,0,0,4653
55,36303,13.0,4,1,0,0,0,1,0,0,0,0,1,0,0,3855
18,36303,6.333333333333333,2,1,0,0,1,0,0,0,0,0,0,0,1,9863
18,36303,6.333333333333333,2,1,0,0,1,0,0,0,0,0,0,0,1,4539
18,36303,6.333333333333333,2,1,0,0,1,0,0,0,0,0,0,0,1,9837
18,36303,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,0,1,9863
18,36303,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,0,1,4539
18,36303,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,0,1,9837
38,36303,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,21285
38,36303,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,20556
38,36303,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,21285
38,36303,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,20556
17,36303,8.75,1,0,1,0,0,0,1,0,0,0,0,0,1,26955
17,36303,8.75,1,0,1,0,0,0,1,0,0,0,0,0,1,26833
17,36303,8.75,1,0,1,0,0,0,1,0,0,0,0,0,1,25914
17,36303,8.75,1,0,1,0,0,0,1,0,0,0,0,0,1,26798
17,36303,8.75,3,0,1,0,0,0,0,1,0,0,0,0,1,26955
17,36303,8.75,3,0,1,0,0,0,0,1,0,0,0,0,1,26833
17,36303,8.75,3,0,1,0,0,0,0,1,0,0,0,0,1,25914
17,36303,8.75,3,0,1,0,0,0,0,1,0,0,0,0,1,26798
58,36801,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,5501
52,36301,6.333333333333333,2,1,0,1,0,0,0,0,0,0,0,1,0,7020
52,36301,6.333333333333333,2,1,0,1,0,0,0,0,0,0,0,1,0,15284
52,36301,6.333333333333333,2,1,0,1,0,0,0,0,0,0,0,1,0,6876
52,36301,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,1,0,7020
52,36301,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,1,0,15284
52,36301,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,1,0,6876
20,36830,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,22772
63,36830,7.0,2,0,1,0,1,0,0,0,0,0,0,0,1,27914
63,36830,7.0,2,0,1,0,1,0,0,0,0,0,0,0,1,18903
66,36330,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,1059
66,36330,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,11991
66,36330,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,15529
66,36330,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,4790
66,36330,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,1059
66,36330,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,11991
66,36330,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,15529
66,36330,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,4790
66,36330,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,1059
66,36330,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,11991
66,36330,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,15529
66,36330,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,4790
66,36330,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,1059
66,36330,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,11991
66,36330,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,15529
66,36330,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,4790
55,36330,5.8,2,0,1,0,1,0,0,0,0,0,1,0,0,23041
55,36330,5.8,2,0,1,0,1,0,0,0,0,0,1,0,0,19982
55,36330,5.8,2,0,1,0,1,0,0,0,0,0,1,0,0,26988
55,36330,5.8,2,0,1,0,1,0,0,0,0,0,1,0,0,26976
55,36330,5.8,2,0,1,0,1,0,0,0,0,0,1,0,0,16034
