id,age,gender,postal_code,traffic_source,avg_sequence_number,order_id,status,num_of_item,month_day
5399,44,M,36303,Organic,5.0,6771,Complete,1,09-05
42412,55,F,36303,Facebook,13.0,52934,Processing,4,05-11
72320,18,F,36303,Search,6.333333333333333,90679,Complete,2,05-20
72320,18,F,36303,Search,6.333333333333333,90680,Shipped,1,09-14
88924,38,M,36303,Search,5.0,111336,Cancelled,1,12-13
88924,38,M,36303,Search,5.0,111335,Complete,1,06-15
95819,17,M,36303,Search,8.75,120033,Returned,1,05-15
95819,17,M,36303,Search,8.75,120034,Shipped,3,10-11
39408,58,F,36801,Search,5.0,49223,Cancelled,1,03-31
75053,52,F,36301,Organic,6.333333333333333,94100,Cancelled,2,06-01
75053,52,F,36301,Organic,6.333333333333333,94099,Shipped,1,05-31
6581,20,M,36830,Search,5.0,8251,Shipped,1,05-27
19990,63,M,36830,Search,7.0,25092,Complete,2,11-19
45974,66,F,36330,Search,5.0,57435,Cancelled,1,03-30
45974,66,F,36330,Search,5.0,57434,Complete,1,06-15
45974,66,F,36330,Search,5.0,57437,Processing,1,03-01
45974,66,F,36330,Search,5.0,57436,Shipped,1,11-01
51477,55,M,36330,Facebook,5.8,64439,Complete,2,01-15
51477,55,M,36330,Facebook,5.8,64440,Complete,1,01-15
51477,55,M,36330,Facebook,5.8,64441,Complete,1,01-15
51477,55,M,36330,Facebook,5.8,64442,Processing,1,01-10
96412,13,F,36330,Search,5.0,120795,Cancelled,1,08-22
96412,13,F,36330,Search,5.0,120794,Returned,1,05-01
17497,24,F,35160,Search,5.0,21934,Shipped,1,04-06
26264,15,F,35160,Search,5.0,32788,Cancelled,1,05-06
26264,15,F,35160,Search,5.0,32789,Complete,1,12-21
89699,66,F,35160,Search,5.0,112293,Complete,1,07-16
89699,66,F,35160,Search,5.0,112295,Processing,1,04-17
89699,66,F,35160,Search,5.0,112296,Processing,1,10-30
89699,66,F,35160,Search,5.0,112294,Shipped,1,05-12
95120,40,F,35160,Organic,7.0,119125,Complete,2,12-10
97256,27,F,35160,Search,8.75,121838,Complete,1,03-28
97256,27,F,35160,Search,8.75,121837,Shipped,3,09-17
59562,54,M,36117,Search,5.0,74614,Complete,1,12-19
72901,23,M,36117,Search,11.4,91402,Returned,1,08-24
72901,23,M,36117,Search,11.4,91403,Shipped,4,12-24
5433,25,M,36116,Email,7.0,6809,Processing,2,12-16
5433,25,M,36116,Email,7.0,6810,Processing,2,08-11
11024,62,M,36116,Search,7.0,13732,Shipped,2,10-11
54235,32,F,36116,Search,5.0,67888,Shipped,1,02-26
66852,57,M,36116,Search,5.0,83806,Complete,1,09-19
