age,postal_code,avg_sequence_number,num_of_item,gender_F,gender_M,status_Cancelled,status_Complete,status_Processing,status_Returned,status_Shipped,traffic_source_Display,traffic_source_Email,traffic_source_Facebook,traffic_source_Organic,traffic_source_Search,user_id,product_id
44,36303,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,5399,27958
55,36303,13.0,4,1,0,0,0,1,0,0,0,0,1,0,0,42412,7012
55,36303,13.0,4,1,0,0,0,1,0,0,0,0,1,0,0,42412,9230
18,36303,6.333333333333333,2,1,0,0,1,0,0,0,0,0,0,0,1,72320,9863
18,36303,6.333333333333333,2,1,0,0,1,0,0,0,0,0,0,0,1,72320,4539
18,36303,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,0,1,72320,9863
18,36303,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,0,1,72320,4539
38,36303,5.0,1,0,1,1,0,0,0,0,0,0,0,0,1,88924,21285
38,36303,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,88924,21285
17,36303,8.75,1,0,1,0,0,0,1,0,0,0,0,0,1,95819,26955
17,36303,8.75,1,0,1,0,0,0,1,0,0,0,0,0,1,95819,26833
17,36303,8.75,1,0,1,0,0,0,1,0,0,0,0,0,1,95819,25914
17,36303,8.75,1,0,1,0,0,0,1,0,0,0,0,0,1,95819,26798
17,36303,8.75,3,0,1,0,0,0,0,1,0,0,0,0,1,95819,26955
17,36303,8.75,3,0,1,0,0,0,0,1,0,0,0,0,1,95819,26833
17,36303,8.75,3,0,1,0,0,0,0,1,0,0,0,0,1,95819,25914
17,36303,8.75,3,0,1,0,0,0,0,1,0,0,0,0,1,95819,26798
52,36301,6.333333333333333,2,1,0,1,0,0,0,0,0,0,0,1,0,75053,7020
52,36301,6.333333333333333,2,1,0,1,0,0,0,0,0,0,0,1,0,75053,15284
52,36301,6.333333333333333,2,1,0,1,0,0,0,0,0,0,0,1,0,75053,6876
52,36301,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,1,0,75053,7020
52,36301,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,1,0,75053,15284
52,36301,6.333333333333333,1,1,0,0,0,0,0,1,0,0,0,1,0,75053,6876
20,36830,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,6581,22772
63,36830,7.0,2,0,1,0,1,0,0,0,0,0,0,0,1,19990,27914
63,36830,7.0,2,0,1,0,1,0,0,0,0,0,0,0,1,19990,18903
66,36330,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,45974,11991
66,36330,5.0,1,1,0,1,0,0,0,0,0,0,0,0,1,45974,4790
66,36330,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,45974,11991
66,36330,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,45974,4790
66,36330,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,45974,11991
66,36330,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,45974,4790
66,36330,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,45974,11991
66,36330,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,45974,4790
55,36330,5.8,2,0,1,0,1,0,0,0,0,0,1,0,0,51477,23041
55,36330,5.8,2,0,1,0,1,0,0,0,0,0,1,0,0,51477,26976
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,51477,23041
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,51477,26976
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,51477,23041
55,36330,5.8,1,0,1,0,1,0,0,0,0,0,1,0,0,51477,26976
55,36330,5.8,1,0,1,0,0,1,0,0,0,0,1,0,0,51477,23041
55,36330,5.8,1,0,1,0,0,1,0,0,0,0,1,0,0,51477,26976
66,35160,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,89699,15933
66,35160,5.0,1,1,0,0,1,0,0,0,0,0,0,0,1,89699,1858
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,89699,15933
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,89699,1858
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,89699,15933
66,35160,5.0,1,1,0,0,0,1,0,0,0,0,0,0,1,89699,1858
66,35160,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,89699,15933
66,35160,5.0,1,1,0,0,0,0,0,1,0,0,0,0,1,89699,1858
40,35160,7.0,2,1,0,0,1,0,0,0,0,0,0,1,0,95120,10117
40,35160,7.0,2,1,0,0,1,0,0,0,0,0,0,1,0,95120,456
27,35160,8.75,1,1,0,0,1,0,0,0,0,0,0,0,1,97256,10683
27,35160,8.75,1,1,0,0,1,0,0,0,0,0,0,0,1,97256,3746
27,35160,8.75,1,1,0,0,1,0,0,0,0,0,0,0,1,97256,7659
27,35160,8.75,3,1,0,0,0,0,0,1,0,0,0,0,1,97256,10683
27,35160,8.75,3,1,0,0,0,0,0,1,0,0,0,0,1,97256,3746
27,35160,8.75,3,1,0,0,0,0,0,1,0,0,0,0,1,97256,7659
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,72901,27164
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,72901,22197
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,72901,17131
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,72901,27420
23,36117,11.4,1,0,1,0,0,0,1,0,0,0,0,0,1,72901,17528
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,72901,27164
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,72901,22197
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,72901,17131
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,72901,27420
23,36117,11.4,4,0,1,0,0,0,0,1,0,0,0,0,1,72901,17528
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,5433,24681
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,5433,22012
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,5433,22911
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,5433,17704
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,5433,24681
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,5433,22012
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,5433,22911
25,36116,7.0,2,0,1,0,0,1,0,0,0,1,0,0,0,5433,17704
62,36116,7.0,2,0,1,0,0,0,0,1,0,0,0,0,1,11024,17019
62,36116,7.0,2,0,1,0,0,0,0,1,0,0,0,0,1,11024,16205
57,36116,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,66852,24505
16,36116,5.8,1,1,0,1,0,0,0,0,0,0,0,1,0,94352,12253
16,36116,5.8,1,1,0,1,0,0,0,0,0,0,0,1,0,94352,12006
16,36116,5.8,2,1,0,1,0,0,0,0,0,0,0,1,0,94352,12253
16,36116,5.8,2,1,0,1,0,0,0,0,0,0,0,1,0,94352,12006
16,36116,5.8,1,1,0,0,1,0,0,0,0,0,0,1,0,94352,12253
16,36116,5.8,1,1,0,0,1,0,0,0,0,0,0,1,0,94352,12006
16,36116,5.8,1,1,0,0,0,1,0,0,0,0,0,1,0,94352,12253
16,36116,5.8,1,1,0,0,0,1,0,0,0,0,0,1,0,94352,12006
